Number of Threads    Time (Seconds)  Speedup        
1                    60.599507       1.000000       
2                    30.606238       1.979972       
3                    21.446800       2.825573       
4                    16.930813       3.579244       
5                    15.695569       3.860931       
6                    13.739195       4.410703       
7                    12.673793       4.781482       
8                    14.242984       4.254692       
9                    21.592064       2.806564       
10                   23.392783       2.590521       
11                   23.470639       2.581928       
12                   24.745007       2.448959       
13                   27.270707       2.222147       
14                   27.144158       2.232506       
15                   26.513971       2.285569       
16                   27.737655       2.184738       
